x,ProbOfMiss
1,48.9853044086774
101,41.858765507341
201,38.55147344092942
301,36.02378008091037
401,33.90465849341353
501,32.04931744638512
601,30.38322543158813
701,28.862012931230225
801,27.456736686822246
901,26.14728353700142
1001,24.919011741347592
1101,23.760876294013674
1201,22.664307603367465
1301,21.622503464609842
1401,20.62996205197443
1501,19.682162601891235
1601,18.77534038541682
1701,17.90632399241265
1801,17.072415028029905
1901,16.271297422766757
2001,15.500967885205085
2101,14.759681748425981
2201,14.045910220826737
2301,13.358306217863102
2401,12.695676740589379
2501,12.05696031188964
2601,11.441208364325057
2701,10.847569747066611
2801,10.275277717617866
2901,9.723638929634165
3001,9.192024036417541
3101,8.679859611107723
3201,8.186621146503471
3301,7.711826944988733
3401,7.255032745886088
3501,6.81582696637794
3601,6.393826454869204
3701,5.988672673751855
3801,5.600028243044399
3901,5.227573788126722
4001,4.871005044388102
4101,4.530030179526056
4201,4.204367300842641
4301,3.8937421204699723
4401,3.5978857562450535
4501,3.316532650127425
4601,3.0494185897581927
4701,2.796278822115917
4801,2.556846251332505
4901,2.330849715673226
5001,2.11801234152807
5101,1.918049975064471
5201,1.7306696950010736
5301,1.5555684128162546
5401,1.392431569630805
5501,1.2409319420177254
5601,1.100728572096585
5701,0.9714658404527452
5801,0.8527727036510123
5901,0.7442621213330077
6001,0.6455307010122376
6101,0.556158591588601
6201,0.47570965912905455
6301,0.4037319803850316
6401,0.3397586905606067
6501,0.2833092216596949
6601,0.2338909659018026
6701,0.19100139470241378
6801,0.15413065699166256
6901,0.12276467056242966
7001,0.09638870604172915
7101,0.07449144434640884
7201,0.05656946461971646
7301,0.042132090411970996
7401,0.03070648747463514
7501,0.021842867880553583
7601,0.01511961415007554
7701,0.010148096856793755
7801,0.0065769246353405975
7901,0.004095343249733676
8001,0.0024354987281774614
8101,0.0013733078913827715
8201,0.0007277468013281174
8301,0.0003584795598520011
8401,0.00016190539904709555
8501,6.588852204883163e-05
8601,2.3624642392600278e-05
8701,7.246795067693985e-06
8801,1.8282728855913183e-06
8901,3.5941227692105654e-07
9001,5.101836720466491e-08
9101,4.679512187074863e-09
9201,2.342415124210704e-10
9301,4.881649566978453e-12
9401,2.661273575703427e-14
9501,1.5779938652499337e-17
9601,1.5031650906682635e-22
9701,1.0691726607057879e-31
9801,0.0
9901,0.0
10001,0.0
