x,ProbOfMiss
1,19.99400179946016
3,10.391362639304178
5,5.782787877810726
7,3.3258039692726644
9,1.9507195460104705
11,1.1593253434556066
13,0.6955291174413927
15,0.42025380325985295
17,0.25533695160704145
19,0.1558262898968167
21,0.09544213795679246
23,0.05863340699149551
25,0.03611176114839842
27,0.0222888086446871
29,0.013782486195213441
31,0.008536162794710136
33,0.00529422747103707
35,0.003287548227144488
37,0.002043655221050573
39,0.0012716121502000413
41,0.0007918927398903696
43,0.0004935168750306755
45,0.00030776983229215094
47,0.00019204686778796114
49,0.00011989965286723616
51,7.489168521699992e-05
53,4.6798546423911504e-05
55,2.9254628185509597e-05
57,1.8293744111686604e-05
59,1.144301495666578e-05
61,7.159681838992308e-06
63,4.480734691449512e-06
65,2.804755417767366e-06
67,1.7559819860377354e-06
69,1.0995484121596738e-06
71,6.886025834012313e-07
73,4.312949872281293e-07
75,2.701616949566745e-07
77,1.692425053500575e-07
79,1.0602900125400708e-07
81,6.642983347723563e-08
83,4.1621629083218464e-08
85,2.6078760469926988e-08
87,1.6340362110447596e-08
89,1.0238550929146796e-08
91,6.415240272273147e-09
93,4.0195808840016e-09
95,2.5184775431799287e-09
97,1.577906050212019e-09
99,9.885677643043472e-10
101,6.193136977377518e-10
103,3.879633846770269e-10
105,2.4302091402734923e-10
107,1.5221821215994713e-10
109,9.533601283586772e-11
111,5.970521051299974e-11
113,3.7387805050705085e-11
115,2.3410350384967774e-11
117,1.4656959867086646e-11
119,9.175629260670489e-12
121,5.743568698690706e-12
123,3.5948428051822664e-12
125,2.2497191915964235e-12
127,1.4077493242246575e-12
129,8.807837682596531e-13
131,5.510089621252225e-13
133,3.4466080489626786e-13
135,2.1555969464649654e-13
137,1.347982511470714e-13
139,8.428313018274931e-14
141,5.2690882441730155e-14
143,3.293574332727041e-14
145,2.0584269551763573e-14
147,1.2862882420137543e-14
149,8.036646843943747e-15
151,5.020467389610023e-15
153,3.135776283802923e-15
155,1.9582884181242777e-15
157,1.2227507715814786e-15
159,7.633575689199036e-16
161,4.764814217727876e-16
163,2.973657507248152e-16
165,1.8555048867351909e-16
167,1.1576002881415865e-16
169,7.220707137591045e-17
171,4.503235437496258e-17
173,2.807971222925189e-17
175,1.750584224056221e-17
177,1.0911765605465423e-17
179,6.800299315684566e-18
181,4.23722330315356e-18
183,2.6396986958499387e-18
185,1.6441688750767948e-18
187,1.0238985769015127e-18
189,6.375075281789026e-19
191,3.9685420083624707e-19
193,2.469979627775601e-19
195,1.5369931757800456e-19
197,9.562383403053858e-20
199,5.948062065184955e-20
201,3.6991287554067484e-20
203,2.3000513214469008e-20
205,1.4298459286611607e-20
207,8.886978397160002e-21
209,5.5224489298845675e-21
211,3.431006513600204e-21
213,2.1311949817665834e-21
215,1.3235373532078607e-21
217,8.217887129919974e-22
219,5.101462265247178e-22
221,3.166207081414871e-22
223,1.9646884223601898e-22
225,1.2188700298558985e-22
227,7.560144061920167e-23
229,4.688256116746752e-23
231,2.90670396804549e-23
233,1.8017649481756553e-23
235,1.1166137343826273e-23
237,6.918547867145258e-24
239,4.28581821036424e-24
241,2.6543550659289132e-24
243,1.6435784292978417e-24
245,1.0174841890518962e-24
247,6.2975323501644135e-25
249,3.8968916639829303e-25
251,2.4108552516320567e-25
253,1.491174657695959e-25
255,9.221257888300937e-26
257,5.701062504262702e-26
259,3.523912592784195e-26
261,2.177699029763617e-26
263,1.3454690462263572e-26
265,8.310983302042813e-27
267,5.132555812217568e-27
269,3.1689636219916207e-27
271,1.9561531932491166e-27
273,1.207230629257624e-27
275,7.448677010191838e-28
277,4.594828421737679e-28
279,2.833743005477885e-28
281,1.747239264624261e-28
283,1.0770721872521525e-28
285,6.638004004867072e-29
287,4.090065250177854e-29
289,2.51954867756317e-29
291,1.551725245714232e-29
293,9.554461667209385e-30
295,5.881616629895994e-30
297,3.6198124710951536e-30
299,2.227276187514678e-30
301,1.3701259669216535e-30
303,8.426459199521745e-31
305,5.181168681261434e-31
307,3.184990271938958e-31
309,1.957429119606682e-31
311,1.2027111148402694e-31
313,7.388116591619634e-32
315,4.5373584054523486e-32
317,2.785923294491149e-32
319,1.710140313715152e-32
321,1.0495198442545784e-32
323,6.439404167114621e-33
325,3.949995820248607e-33
327,2.4223858095961688e-33
329,1.485201990729442e-33
331,9.103807583129836e-34
333,5.5789923274956714e-34
335,3.418089383003026e-34
337,2.0936584537822056e-34
339,1.282102763661741e-34
341,7.849359741553771e-35
343,4.804407568603803e-35
345,2.9399468573425957e-35
347,1.7985932739919886e-35
349,1.1000694818554047e-35
351,6.726679813280721e-36
353,4.112204509888976e-36
355,2.513285276954514e-36
357,1.5356838836678828e-36
359,9.381119083188634e-37
361,5.729280437933852e-37
363,3.498146146679585e-37
365,2.135345156839316e-37
367,1.3031377159772445e-37
369,7.950683598539311e-38
371,4.849649869352825e-38
373,2.957385160604321e-38
375,1.8030045288906992e-38
377,1.0989476484174348e-38
379,6.696506332534278e-39
381,4.079533400438566e-39
383,2.4846399788779483e-39
385,1.512888942789606e-39
387,9.209606432563221e-40
389,5.604867827673795e-40
391,3.4101996223478576e-40
393,2.0743602945048266e-40
395,1.261474233414315e-40
397,7.669414737097436e-41
399,4.661605873949921e-41
401,2.8326845491345575e-41
403,1.720877878807751e-41
405,1.0451795695281704e-41
407,6.346300595468858e-42
409,3.85246834484681e-42
411,2.3380084617400347e-42
413,1.4185396691979417e-42
415,8.604490244206424e-43
417,5.217913924994189e-43
419,3.1634183285873977e-43
421,1.9173621219922578e-43
423,1.1618212388207535e-43
425,7.038206106225273e-44
427,4.262574688729011e-44
429,2.5808884044336304e-44
431,1.5622606940563232e-44
433,9.454197996820135e-45
435,5.719823669491928e-45
437,3.4596104551426356e-45
439,2.0919833699572425e-45
441,1.2646652206274508e-45
443,7.643268171504625e-46
445,4.618156532398428e-46
447,2.7896138177066557e-46
449,1.6846328374661842e-46
451,1.01707278598849e-46
453,6.138810934439009e-47
455,3.7042628019282256e-47
457,2.234624151167446e-47
459,1.3476968344481397e-47
461,8.12577529022773e-48
463,4.8980379501668494e-48
465,2.951644701420122e-48
467,1.778240372812076e-48
469,1.0710288415961958e-48
471,6.449054357682596e-49
473,3.882173491398449e-49
475,2.336349079434518e-49
477,1.4056729081452838e-49
479,8.455015866937137e-50
481,5.08426348651819e-50
483,3.056504237250336e-50
485,1.836983038113605e-50
487,1.1037439659384776e-50
489,6.630014093690802e-51
491,3.9814689696887855e-51
493,2.3903134489343062e-51
495,1.434659612024547e-51
497,8.608455709337908e-52
499,5.163971634024185e-52
501,3.096881092745948e-52
503,1.8567231810297143e-52
505,1.1128883537006596e-52
507,6.66864666840979e-53
509,3.994894842675778e-53
511,2.392513484882973e-53
513,1.4324672370604082e-53
515,8.574249674420075e-54
517,5.1308408235162456e-54
519,3.0694588051152793e-54
521,1.835759533183369e-54
523,1.0976158117476195e-54
525,6.560929340630277e-55
527,3.920673470924933e-55
529,2.3422657041850386e-55
531,1.3989161407264597e-55
533,8.352704234795226e-56
535,4.98588539102843e-56
537,2.9753434818150563e-56
539,1.7750533959577743e-56
541,1.0586809394053151e-56
543,6.312450579807652e-57
545,3.7627899700027994e-57
547,2.242337186137064e-57
549,1.335889943815064e-57
551,7.956446141615816e-58
553,4.737466201366948e-58
555,2.820015775487215e-58
557,1.6781672153187035e-58
559,9.983827622492961e-59
561,5.937955355753531e-59
563,3.5306499422941808e-59
565,2.098698905485771e-59
567,1.2471630095177195e-59
569,7.409242032580933e-60
571,4.400496533961551e-60
573,2.612803754626116e-60
575,1.5509184852436457e-60
577,9.203395630890133e-61
579,5.4598915374968184e-61
581,3.23814736684325e-61
583,1.9199315251536812e-61
585,1.13802361014435e-61
587,6.743619736512131e-62
589,3.994946870834356e-62
591,2.365946626243628e-62
593,1.4007955208916942e-62
595,8.291255109132287e-63
597,4.906156637170133e-63
599,2.902271289522181e-63
601,1.7163661144795074e-63
603,1.014745313629335e-63
605,5.997624045533866e-64
607,3.5438583285212415e-64
609,2.093380908315672e-64
611,1.2362173268432813e-64
613,7.29820267508665e-65
615,4.307362326306549e-65
617,2.541447534810143e-65
619,1.4990807103454668e-65
621,8.839808823677961e-66
623,5.211162129527555e-66
625,3.0711428592803545e-66
627,1.8094185552597532e-66
629,1.0657406059134846e-66
631,6.275340639869949e-67
633,3.693994815322645e-67
635,2.17384366313318e-67
637,1.278890169389187e-67
639,7.521612773271242e-68
641,4.42243379479113e-68
643,2.599466474600733e-68
645,1.5274938787463844e-68
647,8.973192381969316e-69
649,5.26970843825879e-69
651,3.0938422698543143e-69
653,1.8158567657545732e-69
655,1.0654589251185874e-69
657,6.249760911666794e-70
659,3.6648949341468044e-70
661,2.14847820531316e-70
663,1.2591328064532133e-70
665,7.377057266158937e-71
667,4.320814910440137e-71
669,2.52999072314875e-71
671,1.4809582544436257e-71
673,8.666369295243574e-72
675,5.069929466265613e-72
677,2.9650830280379315e-72
679,1.7335719865233302e-72
681,1.013250545140519e-72
683,5.920544095313411e-73
685,3.458406719748938e-73
687,2.019575293469566e-73
689,1.1789989875070328e-73
691,6.880754760793762e-74
693,4.014466649351408e-74
695,2.3414701244517376e-74
697,1.3652690417859446e-74
699,7.95823176203818e-75
701,4.637495537961201e-75
703,2.701586466770283e-75
705,1.5733398685076612e-75
707,9.159977251490895e-76
709,5.33131418226986e-76
711,3.102001875854546e-76
713,1.8043367532949002e-76
715,1.0492059816773453e-76
717,6.099179371949698e-77
719,3.54445446747844e-77
721,2.0591814064031907e-77
723,1.19593310290228e-77
725,6.943622489213795e-78
727,4.0302511634652144e-78
729,2.3385398875241703e-78
731,1.3565130387933396e-78
733,7.866282620980238e-79
735,4.560173464568132e-79
737,2.642769501024984e-79
739,1.5310986597161165e-79
741,8.867738848999806e-80
743,5.134383486246683e-80
745,2.9718662614860012e-80
747,1.7196324501773113e-80
749,9.947347147187689e-81
751,5.752333408342571e-81
753,3.3254147539093443e-81
755,1.9218188225580694e-81
757,1.1103087958795794e-81
759,6.412681830065025e-82
761,3.7025423913535295e-82
763,2.1370991970357852e-82
765,1.2331430998224908e-82
767,7.113220758745472e-83
769,4.101880189086037e-83
771,2.3646310492469527e-83
773,1.3627224074044596e-83
775,7.850817067373561e-84
777,4.521532213719118e-84
779,2.603272137376828e-84
781,1.4983612716822412e-84
783,8.621372208021181e-85
785,4.959055815348488e-85
787,2.851571078431e-85
789,1.6391997081552501e-85
791,9.419803747049147e-86
793,5.4114546007353e-86
795,3.107765344521018e-86
797,1.7842031955307112e-86
799,1.0240051881601186e-86
801,5.875185850517245e-87
803,3.3697875916341384e-87
805,1.9321674726387867e-87
807,1.1075113502098816e-87
809,6.346183722833766e-88
811,3.635281016069786e-88
813,2.0817284869117503e-88
815,1.1917105589007861e-88
817,6.819899124886705e-89
819,3.901624161334275e-89
821,2.2313776894824185e-89
823,1.275735879161223e-89
825,7.291356584259663e-90
827,4.165965278092629e-90
829,2.3794826860500537e-90
831,1.358654096049772e-90
833,7.755227830892999e-91
835,4.425265982527752e-91
837,2.524313047715493e-91
839,1.4394809233073887e-91
841,8.205921131869053e-92
843,4.676353578073982e-92
845,2.6640708702368403e-92
847,1.5171988051233564e-92
849,8.637684733025471e-93
851,4.9159810185635725e-93
853,2.7969254532467826e-93
855,1.5907769278016388e-93
857,9.044722086104059e-94
859,5.140893115872024e-94
861,2.9210512635106853e-94
863,1.6591929436450104e-94
865,9.421315912093513e-95
867,5.347897251687312e-95
869,3.034668159312614e-95
871,1.7214558080611263e-95
873,9.761957605407518e-96
875,5.533936560480079e-96
877,3.1360826973394835e-96
879,1.776629048624885e-96
881,1.0061478052592084e-96
883,5.696163327263413e-97
885,3.223729228911855e-97
887,1.8238537269999437e-97
889,1.0315175652551833e-97
891,5.8320102049818506e-98
893,3.296209427452701e-98
895,1.8623703256618697e-98
897,1.0518937206095473e-98
899,5.939256814450686e-99
901,3.3523288798983843e-99
903,1.8915387944136477e-99
905,1.0669347406493081e-99
907,6.016089352215137e-100
909,3.3911294248665355e-100
911,1.910856028312046e-100
913,1.0763782916159799e-100
915,6.061151000766097e-101
917,3.411916030282001e-101
919,1.9199701186498783e-101
921,1.0800487453956496e-101
923,6.073581207775051e-102
925,3.4142771700610445e-102
927,1.918690820050892e-102
929,1.077862492903294e-102
931,6.053042267148042e-103
933,3.3980978773697385e-103
935,1.9069958057195995e-103
937,1.0698308416782894e-103
939,5.999732080012204e-104
941,3.3635649118986464e-104
943,1.885032433993282e-104
945,1.056060364756205e-104
947,5.914382478688595e-105
949,3.3111637689440284e-105
951,1.8531149157381637e-105
953,1.0367506629304935e-105
955,5.798243037920251e-106
957,3.2416675652983224e-106
959,1.8117169459797574e-106
961,1.0121896005958097e-106
963,5.65305084925577e-107
965,3.156118146263764e-107
967,1.7614600360593236e-107
969,9.827461717126711e-108
971,5.48098726966403e-108
973,3.0558000543978502e-108
975,1.7030979460944428e-108
977,9.488612423227073e-109
979,5.284623147880799e-109
981,2.9422082693133017e-109
983,1.6374977635571606e-109
985,9.110364950612271e-110
987,5.066854457525769e-110
989,2.8170108558501614e-110
991,1.565618295252713e-110
993,8.698219654264925e-111
995,4.8308306041543465e-111
997,2.682007834293535e-111
999,1.488486531117149e-111
1001,8.258026061507278e-112
