BetterThanMed,WorseThanMed,Percentage,ProbOfMiss
5445,5230,51.01 - 48.99,3.9254366726369407
6405,4270,60.0 - 40.0,2.797866084079788e-69
7473,3202,70.0 - 30.0,5.80527e-318
8540,2135,80.0 - 20.0,0.0
9608,1067,90.0 - 10.0,0.0
