x,ProbOfMiss
1,39.98800359892032
3,35.18128455911214
5,31.719812588513946
7,28.950173648700776
9,26.623328116179636
11,24.6126656846296
13,22.843076503106257
15,21.26545662225296
17,19.8454806715106
19,18.557950289912277
21,17.38366422999367
23,16.307555727442118
25,15.317519867086412
27,14.403641125456609
29,13.557665184028314
31,12.772626294663594
33,12.042577296074944
35,11.362389465905459
37,10.727601151217753
39,10.13430126244988
41,9.579038195946064
43,9.05874764071943
45,8.57069463727041
47,8.112426549726509
49,7.681734505165233
51,7.276621481183415
53,6.895275670776719
55,6.536048078412672
57,6.197433539935133
59,5.878054536653989
61,5.576647307800947
63,5.292049867398101
65,5.0231916099012315
67,4.769084249750949
69,4.528813887532761
71,4.30153403298359
73,4.086459444928941
75,3.882860672137328
77,3.690059198349893
79,3.507423110379519
81,3.3343632209371865
83,3.170329588320945
85,3.0148083837505233
87,2.8673190643043855
89,2.727411815396173
91,2.5946652317356635
93,2.468684209932092
95,2.349098029456198
97,2.235558601695418
99,2.127738869406071
101,2.025331341062041
103,1.928046746482239
105,1.8356128017391262
107,1.7477730727489729
109,1.6642859281554316
111,1.5849235731696114
113,1.509471156945852
115,1.4377259468724113
117,1.3694965638568999
119,1.3046022733014513
121,1.242872327004047
123,1.1841453517001101
125,1.1282687803809361
127,1.0750983228999134
129,1.0244974727100526
131,0.9763370468723167
133,0.9304947567382147
135,0.8868548069460065
137,0.8453075205810323
139,0.8057489885400863
141,0.768080741309919
143,0.7322094415231151
145,0.698046595792656
147,0.6655082844511547
149,0.6345149079334876
151,0.6049909486436689
153,0.5768647472394312
155,0.5500682923521054
157,0.5245370228359179
159,0.5002096417105117
161,0.47702794102406226
163,0.4549366369223876
165,0.43388321426251253
167,0.41381778015770365
169,0.39469292588549426
171,0.3764635966310372
173,0.35908696857561023
175,0.34252233287456546
177,0.3267309861007244
179,0.31167612675843687
181,0.29732275750045833
183,0.2836375927046586
185,0.27058897109054086
187,0.25814677307677963
189,0.24628234260063347
191,0.23496841313828304
193,0.22417903768200872
195,0.21388952244576503
197,0.20407636408522958
199,0.19471719023189543
201,0.18579070315331556
203,0.1772766263632748
205,0.16915565401652674
207,0.1614094029328497
209,0.15402036710460718
211,0.14697187455079544
213,0.14024804638877042
215,0.13383375800251296
217,0.12771460219345546
219,0.12187685420659077
221,0.11630743853084877
223,0.11099389737858978
225,0.10592436075455465
227,0.10108751802975476
229,0.09647259094060774
231,0.09206930793814438
233,0.087867879816356
235,0.08385897655273161
237,0.08003370529777377
239,0.07638358945379405
241,0.0729005487865897
243,0.069576880516707
245,0.06640524133991502
247,0.06337863032926061
249,0.060490372673660246
251,0.057734104210418406
253,0.05510375671135525
255,0.05259354388438659
257,0.05019794805443535
259,0.047911707489474015
261,0.045729804339308074
263,0.04364745315641927
265,0.04166008996979942
267,0.03976336188422824
269,0.03795311717888532
271,0.03622539588054428
273,0.034576420787879834
275,0.03300258892463057
277,0.03150046340050588
279,0.03006676565980944
281,0.0286983680987758
283,0.027392287033586187
285,0.026145676001946786
287,0.024955819381980677
289,0.02382012631300649
291,0.022736124903554512
293,0.02170145671270811
295,0.0207138714915559
297,0.019771222172201484
299,0.01887146009240398
301,0.018012630444516356
303,0.01719286793795157
305,0.01641039266493998
307,0.015663506159847813
309,0.014950587642806169
311,0.014270090438855602
313,0.013620538564243048
315,0.013000523471917933
317,0.012408700948663174
319,0.011843788156666141
321,0.011304560812685022
323,0.010789850498299034
325,0.010298542095046798
327,0.009829571338557445
329,0.00938192248606411
331,0.008954626091960285
333,0.008546756886316861
335,0.008157431751522183
337,0.007785807792439858
339,0.007431080495699868
341,0.0070924819739485116
343,0.006769279291082287
345,0.0064607728646805815
347,0.006166294942032447
349,0.005885208146324398
351,0.005616904089719284
353,0.005360802050211592
355,0.005116347709292144
357,0.004883011947595663
359,0.004660289695838326
361,0.0044476988384796225
363,0.004244779167663836
365,0.004051091385111662
367,0.0038662161497421206
369,0.0036897531689092347
371,0.0035213203312373107
373,0.00336055287913321
375,0.003207102619144051
377,0.0030606371684144887
379,0.002920839235579381
381,0.0027874059345053656
383,0.0026600481293689304
385,0.0025384898096290605
387,0.0024224674935197175
389,0.0023117296587513944
391,0.0022060361991719174
393,0.002105157906194758
395,0.002008875973858414
397,0.0019169815264331474
399,0.0018292751675415835
401,0.001745566549807529
403,0.0016656739640929928
405,0.001589423947426841
407,0.0015166509087699538
409,0.001447196771801236
411,0.0013809106339464586
413,0.0013176484409077962
415,0.0012572726759861098
417,0.0011996520635206324
419,0.0011446612858017915
421,0.0010921807128425362
423,0.0010420961444217865
425,0.0009942985638405574
427,0.0009486839028570006
429,0.0009051528172910988
431,0.0008636104728130951
433,0.0008239663404520259
435,0.0007861340013819569
437,0.000750030960563784
439,0.0007155784688397813
441,0.000682701353096507
443,0.0006513278541292529
445,0.0006213894718579903
447,0.0005928208175607564
449,0.0005655594728056822
451,0.0005395458547774125
453,0.0005147230877075541
455,0.0004910368801320309
457,0.0004684354077108581
459,0.00044686920135790764
461,0.00042629104043973064
463,0.0004066558508134821
465,0.00038792060748445975
467,0.0003700442416737599
469,0.0003529875520960849
471,0.0003367131202568334
473,0.00032118522958628286
475,0.000306369788236957
477,0.0002922342553781741
479,0.0002787475708293139
481,0.00026588008788053984
483,0.0002536035091565815
485,0.00024189082538573798
487,0.00023071625694251921
489,0.00022005519803831384
491,0.00020988416344017085
493,0.00020018073760322107
495,0.0001909235261074568
497,0.0001820921092945422
499,0.00017366699800505707
501,0.00016562959132109003
503,0.0001579621362234076
505,0.00015064768907653645
507,0.00014367007885902455
509,0.0001370138720598918
511,0.0001306643391658609
513,0.000124607422667371
515,0.00011882970651463931
517,0.00011331838695814543
519,0.00010806124471088461
521,0.00010304661837257225
523,9.82633790586882e-05
525,9.370090617983435e-05
527,8.934906431934645e-05
529,8.519818115945546e-05
531,8.123902640854332e-05
533,7.746279168418454e-05
535,7.386107130871375e-05
537,7.042584397601712e-05
539,6.714945525011262e-05
541,6.402460085786819e-05
543,6.104431073990909e-05
545,5.820193382539176e-05
547,5.549112349787353e-05
549,5.290582372098887e-05
551,5.044025579405844e-05
553,4.808890570910744e-05
555,4.5846512082059605e-05
557,4.37080546321046e-05
559,4.166874318441227e-05
561,3.972400717248964e-05
563,3.7869485617548465e-05
565,3.610101756327416e-05
567,3.441463294536451e-05
569,3.280654387613893e-05
571,3.1273136325410145e-05
573,2.9810962179660387e-05
575,2.841673166237656e-05
577,2.7087306099173843e-05
579,2.5819691012077773e-05
581,2.4611029528041527e-05
583,2.3458596087450323e-05
585,2.2359790439008935e-05
587,2.1312131908023985e-05
589,2.031325392568001e-05
591,1.9360898807469303e-05
593,1.84529127694713e-05
595,1.758724117168853e-05
597,1.676192397813466e-05
599,1.5975091423836412e-05
601,1.5224959879356221e-05
603,1.4509827903867857e-05
605,1.3828072478222844e-05
607,1.3178145409833358e-05
609,1.2558569901567124e-05
611,1.1967937277203296e-05
613,1.1404903856335666e-05
615,1.0868187971931594e-05
617,1.0356567124062805e-05
619,9.868875263617668e-06
621,9.404000200085188e-06
623,8.960881127768522e-06
625,8.538506265041593e-06
627,8.13591060150637e-06
629,7.752173748141516e-06
631,7.386417885755609e-06
633,7.037805807270538e-06
635,6.705539049563682e-06
637,6.3888561107910095e-06
639,6.087030749298313e-06
641,5.7993703604042464e-06
643,5.5252144275075065e-06
645,5.2639330441314296e-06
647,5.014925503672953e-06
649,4.777618953769636e-06
651,4.551467112338533e-06
653,4.335949042474453e-06
655,4.130567983522864e-06
657,3.934850235764618e-06
659,3.7483440962660794e-06
661,3.570618843559381e-06
663,3.401263768923656e-06
665,3.239887252139373e-06
667,3.086115879684643e-06
669,2.939593603434697e-06
671,2.7999809380138955e-06
673,2.6669541950337835e-06
675,2.540204752531073e-06
677,2.419438357996133e-06
679,2.304374463455811e-06
681,2.194745591144316e-06
683,2.0902967283626535e-06
685,1.990784750190809e-06
687,1.8959778687777218e-06
689,1.8056551079921572e-06
691,1.7196058022730208e-06
693,1.637629118570597e-06
695,1.5595336003207002e-06
697,1.4851367324419725e-06
699,1.4142645263925922e-06
701,1.3467511243666188e-06
703,1.2824384217521482e-06
705,1.2211757070135116e-06
707,1.162819318197974e-06
709,1.1072323153038936e-06
711,1.0542841677821357e-06
713,1.0038504564757878e-06
715,9.558125893349683e-07
717,9.100575302738242e-07
719,8.664775405657255e-07
721,8.249699322002832e-07
723,7.854368326521616e-07
725,7.477849605368074e-07
727,7.119254116522334e-07
729,6.777734549289018e-07
731,6.452483378316277e-07
733,6.142731007783025e-07
735,5.847744001601562e-07
737,5.566823395673022e-07
739,5.299303088414536e-07
741,5.044548305950303e-07
743,4.801954138524053e-07
745,4.5709441448482376e-07
747,4.350969021255878e-07
749,4.141505332664737e-07
751,3.942054302500691e-07
753,3.7521406588580674e-07
755,3.571311534299714e-07
757,3.3991354168187567e-07
759,3.2352011495978417e-07
761,3.079116977310259e-07
763,2.9305096368109564e-07
765,2.789023490164405e-07
767,2.654319698050615e-07
769,2.526075431680715e-07
771,2.403983121439426e-07
773,2.2877497405538012e-07
775,2.1770961221658702e-07
777,2.0717563082614973e-07
779,1.9714769289790544e-07
781,1.876016610889495e-07
783,1.7851454129043188e-07
785,1.6986442885298267e-07
787,1.6163045732451552e-07
789,1.5379274958379421e-07
791,1.463323712585281e-07
793,1.3923128632189228e-07
795,1.324723147662677e-07
797,1.260390922576663e-07
799,1.1991603167876594e-07
801,1.1408828647273185e-07
803,1.0854171570406014e-07
805,1.0326285075654943e-07
807,9.823886359220157e-08
809,9.345753649837526e-08
811,8.890723325387906e-08
813,8.457687164789745e-08
815,8.045589728870336e-08
817,7.653425864203001e-08
819,7.280238324175955e-08
821,6.925115501824248e-08
823,6.58718926920965e-08
825,6.26563291837507e-08
827,5.959659199130741e-08
829,5.668518449149385e-08
831,5.3914968120574663e-08
833,5.127914539409733e-08
835,4.877124372625324e-08
837,4.6385100011457286e-08
839,4.4114845932486947e-08
841,4.195489396117891e-08
843,3.9899924019261505e-08
845,3.794487076840927e-08
847,3.608491150004371e-08
849,3.4315454596775924e-08
851,3.263212853869462e-08
853,3.103077142895122e-08
855,2.9507421014282973e-08
857,2.8058305177250356e-08
859,2.6679832878047175e-08
861,2.5368585524773962e-08
863,2.4121308752049767e-08
865,2.2934904588776217e-08
867,2.180642399676295e-08
869,2.0733059762777528e-08
871,1.9712139727396822e-08
873,1.8741120334813702e-08
875,1.7817580488492936e-08
877,1.693921569827646e-08
879,1.6103832505211454e-08
881,1.530934317101649e-08
883,1.4553760619713485e-08
885,1.3835193619536656e-08
887,1.3151842193786431e-08
889,1.2501993249826954e-08
891,1.1884016415931854e-08
893,1.1296360076165388e-08
895,1.0737547593946186e-08
897,1.020617371537936e-08
899,9.700901143860953e-09
901,9.220457277857405e-09
903,8.76363110414282e-09
905,8.329270239139222e-09
907,7.91627811135049e-09
909,7.523611278210025e-09
911,7.150276870976213e-09
913,6.7953301616091225e-09
915,6.4578722458472204e-09
917,6.137047836974919e-09
919,5.832043165031149e-09
921,5.542083976456306e-09
923,5.266433629410587e-09
925,5.00439128022137e-09
927,4.755290156631394e-09
929,4.518495913723582e-09
931,4.293405068592919e-09
933,4.079443510021183e-09
935,3.876065079587087e-09
937,3.682750220812869e-09
939,3.4990046931088624e-09
941,3.3243583474306693e-09
943,3.1583639607093683e-09
945,3.000596126254207e-09
947,2.8506501974597e-09
949,2.7081412822753055e-09
951,2.5727032860161857e-09
953,2.4439880002082164e-09
955,2.321664235269687e-09
957,2.2054169949362794e-09
959,2.0949466904351417e-09
961,1.989968392508451e-09
963,1.8902111194769607e-09
965,1.7954171596199245e-09
967,1.7053414262295805e-09
969,1.6197508437763845e-09
971,1.538423763695451e-09
973,1.4611494083754588e-09
975,1.387727341998729e-09
977,1.3179669669454502e-09
979,1.2516870445362534e-09
981,1.188715238945688e-09
983,1.1288876831747291e-09
985,1.072048566023401e-09
987,1.0180497390550658e-09
989,9.667503425919827e-10
991,9.180164498275406e-10
993,8.717207281841943e-10
995,8.277421170876905e-10
997,7.859655213677664e-10
999,7.462815195332141e-10
1001,7.085860862051347e-10
