x,ProbOfMiss
1,29.991002699190243
3,21.586143839091207
5,16.290805873489585
7,12.584158173060352
9,9.860045342579815
11,7.800979840037304
13,6.215900616471353
15,4.9799462105779115
17,4.007027284326078
19,3.2355507221458946
21,2.6202566504779643
23,2.1272163363921117
25,1.7306016536956546
27,1.4105118329555857
29,1.1514635959830821
31,0.9413147369774459
33,0.7704804698533516
35,0.6313530244743375
37,0.5178656123554315
39,0.42516092891048823
41,0.34933658871960865
43,0.2872479660137671
45,0.23635437757883837
47,0.19459832370724842
49,0.16031016482744753
51,0.13213251823701475
53,0.1089600453223847
55,0.08989132013555932
57,0.07419023023500394
59,0.06125493253130094
61,0.05059282100976604
63,0.041800295449060984
65,0.03454637635580078
67,0.028559410009664637
69,0.023616262524819062
71,0.01953352340150077
73,0.0161603348239024
75,0.013372538741831728
77,0.011067893956735849
79,0.009162163391359848
81,0.007585910057860932
83,0.006281870968705456
85,0.005202802930274462
87,0.004309714051913011
89,0.0035704108614056087
91,0.0029583039060145384
93,0.002451425242051177
95,0.0020316197570653107
97,0.0016838792111819802
99,0.0013957935349963233
101,0.0011570985269636431
103,0.0009593028512476638
105,0.0007953803068544403
107,0.0006595158491633328
109,0.0005468958996215891
111,0.0004535351625796834
113,0.00037613354829482123
115,0.00031195793348849746
117,0.0002587444206305481
119,0.0002146175210851553
121,0.000178023315359303
123,0.00014767416040273093
125,0.00012250293920937542
127,0.00010162519821329118
129,8.430780654208688e-05
131,6.994300905496521e-05
133,5.802694124337967e-05
135,4.814183588954832e-05
137,3.994128492124874e-05
139,3.313803014955717e-05
141,2.7493847623182854e-05
143,2.2811165546428483e-05
145,1.89261178594175e-05
147,1.570278695165242e-05
149,1.3028431453778996e-05
151,1.0809530177680615e-05
153,8.968502329870992e-06
155,7.440988161958214e-06
157,6.173594114803208e-06
159,5.12202297815236e-06
161,4.2495232181137225e-06
163,3.5256029108141566e-06
165,2.9249630667533393e-06
167,2.426612871358531e-06
169,2.0131357796631786e-06
171,1.6700807156309349e-06
173,1.3854570286279107e-06
175,1.1493155074401687e-06
177,9.534007755664519e-07
179,7.908628974898943e-07
181,6.560181029887309e-07
183,5.441502587584959e-07
185,4.513461445293582e-07
187,3.743587748628291e-07
189,3.1049398964279434e-07
191,2.575163505169485e-07
193,2.135710558483483e-07
195,1.7711914684602277e-07
197,1.4688374213589352e-07
199,1.2180542341854007e-07
201,1.010052145585861e-07
203,8.375386167013684e-08
205,6.944634179672808e-08
207,5.758071033815667e-08
209,4.7740548840083974e-08
211,3.958040043448631e-08
213,3.281368449471461e-08
215,2.7202668593296822e-08
217,2.255014764724161e-08
219,1.8692539712594058e-08
221,1.54941573279943e-08
223,1.2842454332109119e-08
225,1.064408212410149e-08
227,8.821617587920503e-09
229,7.310848345951169e-09
231,6.058520463432413e-09
233,5.020469870757545e-09
235,4.160072169513813e-09
237,3.446956607246256e-09
239,2.8559392332664606e-09
241,2.366137905201484e-09
243,1.960238170467969e-09
245,1.6238843201013122e-09
247,1.3451742883047336e-09
249,1.1142407023548623e-09
251,9.229034007903514e-10
253,7.643812382511434e-10
255,6.330530701792211e-10
257,5.242595322469299e-10
259,4.3413865793985937e-10
261,3.5948956305971996e-10
263,2.97659409417352e-10
265,2.4644967600525953e-10
267,2.040384429780929e-10
269,1.689159554842327e-10
271,1.398312004133871e-10
273,1.1574761574514778e-10
275,9.580637292098776e-11
277,7.929593873593284e-11
279,6.562684396558701e-11
281,5.4310769034371476e-11
283,4.4943208901868785e-11
285,3.7189105314947516e-11
287,3.0770939057230145e-11
289,2.5458861486327493e-11
291,2.1062516521377557e-11
293,1.7424263849601102e-11
295,1.4413563552235316e-11
297,1.1922323342440711e-11
299,9.861043600061535e-12
301,8.155623574614153e-12
303,6.7447154992040315e-12
305,5.577532735980592e-12
307,4.612034139872751e-12
309,3.8134201471096235e-12
311,3.1528871373889727e-12
313,2.606595772477458e-12
315,2.154816602112703e-12
317,1.7812225178749778e-12
319,1.4723028490867414e-12
321,1.2168782157821575e-12
323,1.0056988349476845e-12
325,8.31111944091033e-13
327,6.867864656578877e-13
329,5.674850738674718e-13
331,4.688755142974152e-13
333,3.8737442580587165e-13
335,3.200180737020545e-13
337,2.643553635561712e-13
339,2.1835930073819326e-13
341,1.803537199262259e-13
343,1.4895265483182348e-13
345,1.2301017064786928e-13
347,1.0157885631005187e-13
349,8.387548389788897e-14
351,6.925259942590083e-14
353,5.717502203845637e-14
355,4.720040480359431e-14
357,3.896315618278786e-14
359,3.21611420391591e-14
361,2.6544688047444374e-14
363,2.1907485156764705e-14
365,1.8079069290716966e-14
367,1.49186031993306e-14
369,1.2309735334065054e-14
371,1.0156349481628362e-14
373,8.379051057492033e-15
375,6.912262578778513e-15
377,5.7018228636899966e-15
379,4.703002731613261e-15
381,3.878865059249244e-15
383,3.1989095257045587e-15
385,2.6379527022772143e-15
387,2.1752026822404196e-15
389,1.7934945098659337e-15
391,1.4786585108420233e-15
393,1.2189984588735837e-15
395,1.0048605100263752e-15
397,8.282771416471125e-16
399,6.826730659166876e-16
401,5.626223481288605e-16
403,4.636478284277927e-16
405,3.8205549066306097e-16
407,3.147976992234442e-16
