x,ProbOfMiss
1,9.99700089973008
3,2.796221259643098
5,0.8533290633711823
7,0.27127151240827974
9,0.08830879839055221
11,0.02919573688477761
13,0.009757244981890316
15,0.003286795072447159
17,0.0011138394401652462
19,0.0003792232839476868
21,0.00012958857657345319
23,4.441404800951123e-05
25,1.5258490525190388e-05
27,5.252283767207572e-06
29,1.8108240045542578e-06
31,6.251302204357365e-07
33,2.1603674022992934e-07
35,7.472421471568962e-08
37,2.586419503994695e-08
39,8.957327906590488e-09
41,3.1034636413046314e-09
43,1.0756165522819444e-09
45,3.7288145270466166e-10
47,1.2928596383716432e-10
49,4.48299457934884e-11
51,1.554510838736297e-11
53,5.390182362399509e-12
55,1.868853911702982e-12
57,6.478727057523325e-13
59,2.2455804247706538e-13
61,7.781726864355597e-14
63,2.6959826788616635e-14
65,9.337670646977193e-15
67,3.233166555018723e-15
69,1.1191142250945321e-15
71,3.8722840214036623e-16
73,1.3393586249528229e-16
75,4.630784734354297e-17
77,1.6004132657736343e-17
79,5.528685707498574e-18
81,1.9090476480668233e-18
83,6.588857428588944e-19
85,2.2729805883416195e-19
87,7.837324084798573e-20
89,2.7009770306924343e-20
91,9.303574719928527e-21
93,3.202947702640811e-21
95,1.1020881197605544e-21
97,3.790050147916787e-22
99,1.302661779177197e-22
101,4.474789320993691e-23
103,1.5362576082154647e-23
105,5.271115554160637e-24
107,1.8075267615538262e-24
109,6.194517314187016e-25
111,2.12162055270113e-25
113,7.262105760622432e-26
115,2.484215502882196e-26
117,8.492687712019855e-27
119,2.901534140485534e-27
121,9.906823232603153e-28
123,3.380360293977439e-28
125,1.15268636850469e-28
127,3.928047511410754e-29
129,1.3376965772102253e-29
131,4.552519146684073e-30
133,1.5483076829650747e-30
135,5.262258582757845e-31
137,1.7872886456767112e-31
139,6.066288021732002e-32
141,2.0575739495910224e-32
143,6.974134267888086e-33
145,2.3622505430216076e-33
147,7.995779969357645e-34
149,2.7045399466440025e-34
151,9.14159887360228e-35
153,3.0877750941514956e-35
